State_Name,Year,Position,Candidate,Sex,Party,Constituency_No,Constituency_Name,Candidate_Type,Constituency_Type,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Last_Party
Andaman_&_Nicobar_Islands,2009,1,SHRI. BISHNU PADA RAY,M,BJP,1,ANDAMAN & NICOBAR ISLANDS,GEN,GEN,11,64.16,44.21,BJP
Andhra_Pradesh,2009,1,RATHOD RAMESH,M,TDP,1,ADILABAD,ST,ST,9,76.34,43.11,
Andhra_Pradesh,2009,1,DR.G.VIVEKANAND,M,INC,2,PEDDAPALLE,SC,SC,15,68.72,34.7,
Andhra_Pradesh,2009,1,PONNAM PRABHAKAR,M,INC,3,KARIMNAGAR,GEN,GEN,15,66.12,32.14,
Andhra_Pradesh,2009,1,MADHU YASKHI GOUD,M,INC,4,NIZAMABAD,GEN,GEN,12,66.72,33.33,INC
Andhra_Pradesh,2009,1,SURESH KUMAR SHETKAR,M,INC,5,ZAHIRABAD,GEN,GEN,10,74.82,38.9,
Andhra_Pradesh,2009,1,VIJAYA SHANTHI .M,F,TRS,6,MEDAK,GEN,GEN,9,76.29,36.67,
Andhra_Pradesh,2009,1,SARVEY SATHYANARAYANA,M,INC,7,MALKAJGIRI,SC,GEN,19,51.46,32.21,INC
Andhra_Pradesh,2009,1,ANJAN KUMAR YADAV M,M,INC,8,SECUNDRABAD,GEN,GEN,23,54.93,39.37,INC
Andhra_Pradesh,2009,1,ASADUDDIN OWAISI,M,AIMIM,9,HYDERABAD,GEN,GEN,23,52.48,42.14,AIMIM
Andhra_Pradesh,2009,1,JAIPAL REDDY SUDINI,M,INC,10,CHELVELLA,GEN,GEN,15,64.52,38.78,INC
Andhra_Pradesh,2009,1,K. CHANDRASEKHAR RAO,M,TRS,11,MAHBUBNAGAR,GEN,GEN,32,67.68,39.56,TRS
Andhra_Pradesh,2009,1,DR. MANDA JAGANNATH,M,INC,12,NAGARKURNOOL,SC,SC,13,70.21,41.23,TDP
Andhra_Pradesh,2009,1,GUTHA SUKENDER REDDY,M,INC,13,NALGONDA,GEN,GEN,14,74.14,45.78,TDP
Andhra_Pradesh,2009,1,KOMATIREDDY RAJ GOPAL REDDY,M,INC,14,BHONGIR,GEN,GEN,15,76.28,44.7,
Andhra_Pradesh,2009,1,RAJAIAH SIRICILLA,M,INC,15,WARANGAL,SC,SC,15,69.32,38.48,
Andhra_Pradesh,2009,1,P. BALRAM,M,INC,16,MAHABUBABAD,ST,ST,12,78.74,39.59,
Andhra_Pradesh,2009,1,NAMA NAGESWARA RAO,M,TDP,17,KHAMMAM,GEN,GEN,13,82.08,45.39,TDP
Andhra_Pradesh,2009,1,KISHORE CHANDRA SURYANARAYANA DEO VYRICHERLA,M,INC,18,ARUKU,ST,ST,11,67.01,45.49,INC
Andhra_Pradesh,2009,1,KILLI KRUPA RANI,F,INC,19,SRIKAKULAM,GEN,GEN,6,74.93,42.2,INC
Andhra_Pradesh,2009,1,JHANSI LAKSHMI BOTCHA,F,INC,20,VIZIANAGARAM,GEN,GEN,9,77.07,40.36,INC
Andhra_Pradesh,2009,1,DAGGUBATI PURANDESWARI,F,INC,21,VISAKHAPATNAM,GEN,GEN,15,72.96,36.43,
Andhra_Pradesh,2009,1,SABBAM HARI,M,INC,22,ANAKAPALLI,GEN,GEN,10,78.71,35.3,
Andhra_Pradesh,2009,1,M.M.PALLAMRAJU,M,INC,23,KAKINADA,GEN,GEN,16,76.32,33.51,
Andhra_Pradesh,2009,1,G.V.HARSHA KUMAR,M,INC,24,AMALAPURAM,SC,SC,11,80.28,35.99,INC
Andhra_Pradesh,2009,1,ARUNA KUMAR VUNDAVALLI,M,INC,25,RAJAHMUNDRY,GEN,GEN,13,80.72,35.12,INC
Andhra_Pradesh,2009,1,BAPIRAJU KANUMURU,M,INC,26,NARSAPURAM,GEN,GEN,10,84.47,39.3,INC
Andhra_Pradesh,2009,1,KAVURI SAMBASIVA RAO,M,INC,27,ELURU,GEN,GEN,12,84.59,39.28,AIIC(T)
Andhra_Pradesh,2009,1,KONAKALLA NARAYANA RAO,M,TDP,28,MACHILIPATNAM,GEN,GEN,10,83.6,39.19,
Andhra_Pradesh,2009,1,LAGADAPATI RAJA GOPAL,M,INC,29,VIJAYAWADA,GEN,GEN,20,77.61,39.46,INC
Andhra_Pradesh,2009,1,RAYAPATI SAMBASIVA RAO,M,INC,30,GUNTUR,GEN,GEN,10,76.53,38.66,INC
Andhra_Pradesh,2009,1,MODUGULA VENUGOPALA REDDY,M,TDP,31,NARASARAOPET,GEN,GEN,14,79.52,42.83,
Andhra_Pradesh,2009,1,PANABAKA LAKSHMI,F,INC,32,BAPATLA,SC,SC,10,78.97,44.15,INC
Andhra_Pradesh,2009,1,MAGUNTA SRINIVASULU REDDY,M,INC,33,ONGOLE,GEN,GEN,11,74.25,44.1,INC
Andhra_Pradesh,2009,1,S.P.Y.REDDY,M,INC,34,NANDYAL,GEN,GEN,21,73.22,40.21,INC
