State_Name,Year,Position,Candidate,Sex,Party,Constituency_No,Constituency_Name,Candidate_Type,Constituency_Type,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Last_Party
Andaman_&_Nicobar_Islands,2014,1,BISHNU PADA RAY,M,BJP,1,ANDAMAN & NICOBAR ISLANDS,GEN,GEN,15,70.66,47.8,BJP
Andhra_Pradesh,2014,1,GODAM NAGESH,M,TRS,1,ADILABAD,ST,ST,8,75.44,41.2,
Andhra_Pradesh,2014,1,BALKA SUMAN,M,TRS,2,PEDDAPALLE,SC,SC,17,71.71,55.32,
Andhra_Pradesh,2014,1,VINOD KUMAR BOINAPALLY,M,TRS,3,KARIMNAGAR,GEN,GEN,17,72.55,44.91,TRS
Andhra_Pradesh,2014,1,KALVAKUNTLA KAVITHA,F,TRS,4,NIZAMABAD,GEN,GEN,16,69.1,42.49,
Andhra_Pradesh,2014,1,B.B. PATIL,M,TRS,5,ZAHIRABAD,GEN,GEN,10,75.75,46.46,
Andhra_Pradesh,2014,1,KALVAKUNTLA CHANDRASEKHAR RAO,M,TRS,6,MEDAK,GEN,GEN,13,77.53,55.2,TRS
Andhra_Pradesh,2014,1,CH.MALLA REDDY,M,TDP,7,MALKAJGIRI,GEN,GEN,30,50.91,32.3,
Andhra_Pradesh,2014,1,BANDARU DATTATREYA,M,BJP,8,SECUNDRABAD,GEN,GEN,30,53.0,43.66,BJP
Andhra_Pradesh,2014,1,ASADUDDIN OWAISI,M,AIMIM,9,HYDERABAD,GEN,GEN,16,53.28,52.9,AIMIM
Andhra_Pradesh,2014,1,KONDA VISHWESHWAR REDDY,M,TRS,10,CHELVELLA,GEN,GEN,15,60.22,33.06,
Andhra_Pradesh,2014,1,AP JITHENDER REDDY,M,TRS,11,MAHBUBNAGAR,GEN,GEN,9,71.53,32.94,
Andhra_Pradesh,2014,1,YELLAIAH NANDI,M,INC,12,NAGARKURNOOL,SC,SC,6,75.07,37.88,INC
Andhra_Pradesh,2014,1,GUTHA SUKHENDER REDDY,M,INC,13,NALGONDA,GEN,GEN,9,79.59,39.69,INC
