State_Name,Year,Position,Candidate,Sex,Party,Constituency_No,Constituency_Name,Candidate_Type,Constituency_Type,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Last_Party
Andaman_&_Nicobar_Islands,2019,1,KULDEEP RAI SHARMA,M,INC,1,ANDAMAN & NICOBAR ISLANDS,GEN,GEN,15,65.09,45.98,INC
Andaman_&_Nicobar_Islands,2019,2,VISHAL JOLLY,M,BJP,1,ANDAMAN & NICOBAR ISLANDS,,GEN,15,65.09,45.3,
Andaman_&_Nicobar_Islands,2019,3,PARITOSH KUMAR HALDAR,M,IND,1,ANDAMAN & NICOBAR ISLANDS,,GEN,15,65.09,2.58,
Andaman_&_Nicobar_Islands,2019,4,SANJAY MESHACK,M,AAAP,1,ANDAMAN & NICOBAR ISLANDS,GEN,GEN,15,65.09,1.37,AAAP
Andaman_&_Nicobar_Islands,2019,5,PRAKASH MINJ,M,BSP,1,ANDAMAN & NICOBAR ISLANDS,,GEN,15,65.09,1.2,
Andaman_&_Nicobar_Islands,2019,6,AYAN MANDAL,M,AITC,1,ANDAMAN & NICOBAR ISLANDS,,GEN,15,65.09,0.83,
Andaman_&_Nicobar_Islands,2019,7,NOTA,,NOTA,1,ANDAMAN & NICOBAR ISLANDS,,GEN,15,65.09,0.68,
Andaman_&_Nicobar_Islands,2019,8,HENRY,M,IND,1,ANDAMAN & NICOBAR ISLANDS,,GEN,15,65.09,0.48,
Andaman_&_Nicobar_Islands,2019,9,K VENKAT RAM BABU,M,IND,1,ANDAMAN & NICOBAR ISLANDS,,GEN,15,65.09,0.44,
Andaman_&_Nicobar_Islands,2019,10,MINATI BISWAS,F,IND,1,ANDAMAN & NICOBAR ISLANDS,,GEN,15,65.09,0.3,
Andaman_&_Nicobar_Islands,2019,11,S SUDERSHAN RAO,M,IND,1,ANDAMAN & NICOBAR ISLANDS,,GEN,15,65.09,0.23,
Andaman_&_Nicobar_Islands,2019,12,V V KHALID,M,IND,1,ANDAMAN & NICOBAR ISLANDS,GEN,GEN,15,65.09,0.15,IND
Andaman_&_Nicobar_Islands,2019,13,K KALIMUTHU,M,IND,1,ANDAMAN & NICOBAR ISLANDS,,GEN,15,65.09,0.13,
Andaman_&_Nicobar_Islands,2019,14,C U RASHEED,M,IND,1,ANDAMAN & NICOBAR ISLANDS,,GEN,15,65.09,0.13,
Andaman_&_Nicobar_Islands,2019,15,GOUR CHANDRA MAJUMDER,M,IND,1,ANDAMAN & NICOBAR ISLANDS,GEN,GEN,15,65.09,0.11,BSP
Andaman_&_Nicobar_Islands,2019,16,C G SAJI KUMAR,M,AINHCP,1,ANDAMAN & NICOBAR ISLANDS,GEN,GEN,15,65.09,0.1,IND
Andhra_Pradesh,2019,1,GODDETI. MADHAVI,F,YSRCP,1,ARUKU,ST,ST,10,74.03,52.32,
Andhra_Pradesh,2019,2,KISHORE CHANDRA DEO,M,TDP,1,ARUKU,ST,ST,10,74.03,31.46,
Andhra_Pradesh,2019,3,NOTA,,NOTA,1,ARUKU,,ST,10,74.03,4.46,
Andhra_Pradesh,2019,4,GANGULAIAH VAMPURU.,M,JnP,1,ARUKU,ST,ST,10,74.03,3.98,
Andhra_Pradesh,2019,5,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,M,BJP,1,ARUKU,ST,ST,10,74.03,1.66,
Andhra_Pradesh,2019,6,SHRUTI DEVI VYRICHERLA,F,INC,1,ARUKU,ST,ST,10,74.03,1.65,
Andhra_Pradesh,2019,7,KANGALA BALUDORA,M,IND,1,ARUKU,ST,ST,10,74.03,1.29,
Andhra_Pradesh,2019,8,NARAVA SATYAVATHI,F,IND,1,ARUKU,ST,ST,10,74.03,1.05,
Andhra_Pradesh,2019,9,ANUMULA VAMSIKRISHNA,M,IND,1,ARUKU,ST,ST,10,74.03,0.95,
Andhra_Pradesh,2019,10,BIDDIKA RAMAYYA.,M,IND,1,ARUKU,ST,ST,10,74.03,0.73,
Andhra_Pradesh,2019,11,SWAMULA. SUBRAHMANYAM,M,JAJGP,1,ARUKU,ST,ST,10,74.03,0.44,
Andhra_Pradesh,2019,1,KINJARAPU RAM MOHAN NAIDU,M,TDP,2,SRIKAKULAM,GEN,GEN,9,74.48,46.19,
Andhra_Pradesh,2019,2,DUVVADA SRINIVAS,M,YSRCP,2,SRIKAKULAM,GEN,GEN,9,74.48,45.61,
Andhra_Pradesh,2019,3,METTA RAMARAO,M,JnP,2,SRIKAKULAM,,GEN,9,74.48,2.76,
Andhra_Pradesh,2019,4,NOTA,,NOTA,2,SRIKAKULAM,,GEN,9,74.48,2.21,
Andhra_Pradesh,2019,5,DOLA JAGAN,M,INC,2,SRIKAKULAM,,GEN,9,74.48,1.19,
Andhra_Pradesh,2019,6,PERLA SAMBA MURTHY,M,BJP,2,SRIKAKULAM,,GEN,9,74.48,0.72,
Andhra_Pradesh,2019,7,NAIDUGARI RAJASEKHAR,M,IND,2,SRIKAKULAM,,GEN,9,74.48,0.45,
Andhra_Pradesh,2019,8,NAMBALLA KRISHNA MOHAN,M,IND,2,SRIKAKULAM,,GEN,9,74.48,0.42,
Andhra_Pradesh,2019,9,BETHA VIVEKANANDA MAHARAJ,M,IND,2,SRIKAKULAM,,GEN,9,74.48,0.33,
Andhra_Pradesh,2019,10,MATTA SATISH CHAKRAVARTHY,M,PPOI,2,SRIKAKULAM,,GEN,9,74.48,0.13,
Andhra_Pradesh,2019,1,Bellana Chandra Sekhar,M,YSRCP,3,VIZIANAGARAM,GEN,GEN,14,80.98,47.49,
Andhra_Pradesh,2019,2,Ashok Gajapathi Raju Pusapati,M,TDP,3,VIZIANAGARAM,GEN,GEN,14,80.98,43.55,TDP
Andhra_Pradesh,2019,3,Mukka Srinivas Rao,M,JnP,3,VIZIANAGARAM,,GEN,14,80.98,2.81,
Andhra_Pradesh,2019,4,NOTA,,NOTA,3,VIZIANAGARAM,,GEN,14,80.98,2.42,
Andhra_Pradesh,2019,5,Adiraju Yedla,M,INC,3,VIZIANAGARAM,,GEN,14,80.98,1.29,
Andhra_Pradesh,2019,6,Sanyasi Raju Pakalapati,M,BJP,3,VIZIANAGARAM,GEN,GEN,14,80.98,0.6,BJP
Andhra_Pradesh,2019,7,Venkata Trindha Rao Veluri,M,IND,3,VIZIANAGARAM,,GEN,14,80.98,0.52,
Andhra_Pradesh,2019,8,P.V.A. Ananda Sagar,M,SAPRP,3,VIZIANAGARAM,,GEN,14,80.98,0.41,
Andhra_Pradesh,2019,9,Ijjurouthu Ramunaidu,M,IND,3,VIZIANAGARAM,,GEN,14,80.98,0.37,
Andhra_Pradesh,2019,10,Pentapati Rajesh,M,IND,3,VIZIANAGARAM,,GEN,14,80.98,0.12,
Andhra_Pradesh,2019,11,Chiranjeevi Lingala,M,ACP,3,VIZIANAGARAM,,GEN,14,80.98,0.1,
Andhra_Pradesh,2019,12,Dhanalakoti Ramana,M,IND,3,VIZIANAGARAM,,GEN,14,80.98,0.1,
Andhra_Pradesh,2019,13,Yella Rao Siyyadula,M,IND,3,VIZIANAGARAM,SC,GEN,14,80.98,0.08,
Andhra_Pradesh,2019,14,Surya Bhavani. K,F,PPOI,3,VIZIANAGARAM,,GEN,14,80.98,0.07,
Andhra_Pradesh,2019,15,Lagudu. Govinda Rao,M,JAJGP,3,VIZIANAGARAM,,GEN,14,80.98,0.06,
Andhra_Pradesh,2019,1,M V V SATYANARAYANA,M,YSRCP,4,VISAKHAPATNAM,GEN,GEN,14,67.77,35.24,
Andhra_Pradesh,2019,2,BHARAT MATHUKUMILLI,M,TDP,4,VISAKHAPATNAM,,GEN,14,67.77,34.89,
Andhra_Pradesh,2019,3,V.V. LAKSHMI NARAYANA,M,JnP,4,VISAKHAPATNAM,,GEN,14,67.77,23.3,
Andhra_Pradesh,2019,4,DAGGUBATI PURANDESWARI,F,BJP,4,VISAKHAPATNAM,GEN,GEN,14,67.77,2.73,
Andhra_Pradesh,2019,5,NOTA,,NOTA,4,VISAKHAPATNAM,,GEN,14,67.77,1.34,
Andhra_Pradesh,2019,6,PEDADA. RAMANIKUMARI,F,INC,4,VISAKHAPATNAM,,GEN,14,67.77,1.18,
Andhra_Pradesh,2019,7,GEORGE BANGARI,M,VCK,4,VISAKHAPATNAM,,GEN,14,67.77,0.24,
Andhra_Pradesh,2019,8,DURGAPRASAD. GUNTU,M,IND,4,VISAKHAPATNAM,GEN,GEN,14,67.77,0.2,
Andhra_Pradesh,2019,9,PULAPAKA RAJA SEKHAR,M,IND,4,VISAKHAPATNAM,,GEN,14,67.77,0.19,
Andhra_Pradesh,2019,10,ANMISH VARMA,M,IND,4,VISAKHAPATNAM,,GEN,14,67.77,0.15,
Andhra_Pradesh,2019,11,B. JAYA VENU GOPAL,M,PPOI,4,VISAKHAPATNAM,,GEN,14,67.77,0.13,
Andhra_Pradesh,2019,12,R. UDAYA GOWRI,F,IND,4,VISAKHAPATNAM,,GEN,14,67.77,0.11,
Andhra_Pradesh,2019,13,GANNU MALLAYYA,M,IND,4,VISAKHAPATNAM,,GEN,14,67.77,0.11,
Andhra_Pradesh,2019,14,KOTHAPALLI GEETHA,F,IND,4,VISAKHAPATNAM,ST,GEN,14,67.77,0.09,
Andhra_Pradesh,2019,15,GAMPALA SOMASUNDARAM,M,IND,4,VISAKHAPATNAM,,GEN,14,67.77,0.09,
Andhra_Pradesh,2019,1,Dr.Beesetti Venkata Satyavathi,F,YSRCP,5,ANAKAPALLI,GEN,GEN,10,81.41,47.33,
Andhra_Pradesh,2019,2,ADARI ANAND KUMAR,M,TDP,5,ANAKAPALLI,,GEN,10,81.41,40.13,
Andhra_Pradesh,2019,3,Chintala Partha Sarathi,M,JnP,5,ANAKAPALLI,,GEN,10,81.41,6.67,
Andhra_Pradesh,2019,4,NOTA,,NOTA,5,ANAKAPALLI,,GEN,10,81.41,2.82,
Andhra_Pradesh,2019,5,Dr. Gandi Venkata Satyanarayana Rao (Dr Vikram),M,BJP,5,ANAKAPALLI,,GEN,10,81.41,1.07,
Andhra_Pradesh,2019,6,Ruthala Srirama Murthy,M,INC,5,ANAKAPALLI,,GEN,10,81.41,0.82,
Andhra_Pradesh,2019,7,Vadlamuri Krishna Swaroop,M,DABAP,5,ANAKAPALLI,SC,GEN,10,81.41,0.36,
Andhra_Pradesh,2019,8,Appala Naidu Tummagunta,M,IND,5,ANAKAPALLI,,GEN,10,81.41,0.3,
Andhra_Pradesh,2019,9,P.S.AJAY KUMAR,M,CPI(ML)(L),5,ANAKAPALLI,,GEN,10,81.41,0.22,
Andhra_Pradesh,2019,10,Taadi Veera Jagadeeshwari,F,PPOI,5,ANAKAPALLI,,GEN,10,81.41,0.15,
Andhra_Pradesh,2019,11,K B SWAROOP,M,JAJGP,5,ANAKAPALLI,,GEN,10,81.41,0.13,
Andhra_Pradesh,2019,1,VANGA GEETHAVISWANATH,F,YSRCP,6,KAKINADA,GEN,GEN,15,78.95,43.54,
